year,median,value
2013,total_meadian_income,42498
2013,men_median_income,48520
2013,women_median_income,38233
2014,total_meadian_income,43545
2014,men_median_income,49149
2014,women_median_income,39054
2015,total_meadian_income,44819
2015,men_median_income,50119
2015,women_median_income,40022
2016,total_meadian_income,45860
2016,men_median_income,50741
2016,women_median_income,40675
2017,total_meadian_income,47016
2017,men_median_income,51421
2017,women_median_income,41512
2018,total_meadian_income,48565
2018,men_median_income,52144
2018,women_median_income,42295